,EmployeeID,Department,HireDate,Salary,CountryOfOperation,ProductID,Tenure
0,1,Sales,2020-01-01,64812,China,880,4
1,2,Sales,2020-01-02,40001,Japan,325,4
2,3,Quality Control,2020-01-03,45062,China,810,4
3,4,Sales,2020-01-04,70091,China,911,4
4,5,Human Resources,2020-01-05,37729,Germany,672,4
5,6,Sales,2020-01-06,33314,USA,550,4
6,7,Production,2020-01-07,70945,India,936,4
7,8,Quality Control,2020-01-08,33440,Germany,464,4
8,9,Sales,2020-01-09,76322,Germany,563,4
9,10,Production,2020-01-10,35092,Germany,120,4
10,11,Human Resources,2020-01-11,61879,India,970,4
11,12,Quality Control,2020-01-12,38245,India,549,4
12,13,Human Resources,2020-01-13,56347,USA,353,4
13,14,Human Resources,2020-01-14,68579,Japan,559,4
14,15,Logistics,2020-01-15,48834,Germany,19,4
15,16,Human Resources,2020-01-16,48845,USA,361,4
16,17,Quality Control,2020-01-17,44172,USA,302,4
17,18,Quality Control,2020-01-18,32499,Germany,285,4
18,19,Human Resources,2020-01-19,34256,China,745,4
19,20,Sales,2020-01-20,74685,China,418,4
20,21,Quality Control,2020-01-21,49730,USA,34,4
21,22,Production,2020-01-22,76243,Japan,505,4
22,23,Sales,2020-01-23,70765,USA,847,4
23,24,Production,2020-01-24,76790,China,172,4
24,25,Production,2020-01-25,54601,China,918,4
25,26,Production,2020-01-26,62999,USA,475,4
26,27,Logistics,2020-01-27,49483,India,661,4
27,28,Production,2020-01-28,70202,India,76,4
28,29,Logistics,2020-01-29,55051,Japan,720,4
29,30,Logistics,2020-01-30,71498,USA,214,4
30,31,Sales,2020-01-31,36464,India,509,4
31,32,Quality Control,2020-02-01,47911,USA,892,4
32,33,Production,2020-02-02,65749,Japan,804,4
33,34,Sales,2020-02-03,30333,USA,654,4
34,35,Logistics,2020-02-04,36445,India,33,4
35,36,Production,2020-02-05,49997,India,994,4
36,37,Sales,2020-02-06,76752,Germany,89,4
37,38,Human Resources,2020-02-07,71755,Germany,655,4
38,39,Quality Control,2020-02-08,39729,China,692,4
39,40,Human Resources,2020-02-09,43992,USA,966,4
40,41,Human Resources,2020-02-10,66230,Germany,49,4
41,42,Quality Control,2020-02-11,71640,Germany,532,4
42,43,Sales,2020-02-12,62206,USA,410,4
43,44,Sales,2020-02-13,33058,China,298,4
44,45,Sales,2020-02-14,39694,India,792,4
45,46,Sales,2020-02-15,67939,Japan,118,4
46,47,Quality Control,2020-02-16,78612,China,500,4
47,48,Quality Control,2020-02-17,68072,China,468,4
48,49,Sales,2020-02-18,45640,USA,895,4
49,50,Human Resources,2020-02-19,50146,USA,281,4
50,51,Sales,2020-02-20,31384,USA,183,4
51,52,Logistics,2020-02-21,47121,USA,835,4
52,53,Logistics,2020-02-22,41137,Germany,590,4
53,54,Production,2020-02-23,44583,China,500,4
54,55,Logistics,2020-02-24,47494,China,776,4
55,56,Logistics,2020-02-25,46009,India,422,4
56,57,Sales,2020-02-26,41763,China,217,4
57,58,Quality Control,2020-02-27,67558,India,216,4
58,59,Production,2020-02-28,32956,Germany,481,4
59,60,Quality Control,2020-02-29,54601,China,595,4
60,61,Production,2020-03-01,63556,USA,911,4
61,62,Human Resources,2020-03-02,41450,India,144,4
62,63,Human Resources,2020-03-03,60382,China,711,4
63,64,Sales,2020-03-04,53489,Germany,84,4
64,65,Sales,2020-03-05,33949,USA,964,4
65,66,Sales,2020-03-06,69256,USA,335,4
66,67,Production,2020-03-07,43485,USA,521,4
67,68,Sales,2020-03-08,32319,Germany,8,4
68,69,Quality Control,2020-03-09,36865,China,485,4
69,70,Logistics,2020-03-10,56347,USA,676,4
70,71,Production,2020-03-11,65076,USA,329,4
71,72,Production,2020-03-12,74051,China,703,4
72,73,Production,2020-03-13,70027,China,315,4
73,74,Production,2020-03-14,68130,Germany,831,4
74,75,Sales,2020-03-15,58823,India,105,4
75,76,Human Resources,2020-03-16,36346,China,680,4
76,77,Quality Control,2020-03-17,59073,USA,6,4
77,78,Quality Control,2020-03-18,66529,Japan,634,4
78,79,Production,2020-03-19,65441,Germany,895,4
79,80,Logistics,2020-03-20,38232,China,49,4
80,81,Sales,2020-03-21,71037,USA,116,4
81,82,Logistics,2020-03-22,37322,India,455,4
82,83,Production,2020-03-23,75178,China,417,4
83,84,Production,2020-03-24,51191,India,782,4
84,85,Production,2020-03-25,62934,China,521,4
85,86,Production,2020-03-26,78660,Japan,488,4
86,87,Sales,2020-03-27,58584,Germany,499,4
87,88,Sales,2020-03-28,33146,India,42,4
88,89,Sales,2020-03-29,45459,Germany,189,4
89,90,Human Resources,2020-03-30,49226,USA,749,4
